theta,x
0.8236550000000022,0.05
0.8484970000000033,0.097368421
0.8661299999999983,0.14473684
0.8798220000000014,0.19210526
0.8908369999999991,0.23947368
0.899860000000001,0.28684211
0.9073229999999967,0.33421053
0.9135379999999997,0.38157895
0.9187379999999962,0.42894737
0.9231060000000013,0.47631579
0.9267899999999998,0.52368421
0.929919000000001,0.57105263
0.9325929999999971,0.61842105
0.9348799999999983,0.66578947
0.9368210000000033,0.71315789
0.9384329999999977,0.76052632
0.9397100000000023,0.80789474
0.9406170000000031,0.85526316
0.941052000000002,0.90263158
0.9406570000000045,0.95
