x	y	z	r	phi
0.000700373434578	0.000720623320072	-1.46424994733e-21	0.00100489846119	6.93253086909e-310
0.000671665251025	0.000747269593867	-1.44245614072e-22	0.00100476169083	6.93253086909e-310
0.000641938074672	0.000772763644022	-1.44497741099e-22	0.00100461342876	6.67459335795e-81
0.000611237932247	0.000797066162537	-1.00443194144e-21	0.00100445322304	6.9325349017e-310
0.000579612397714	0.000820139679131	0	0.00100428065045	7.28304816159e+223
0.000547110534498	0.000841948619232	-1.12257356088e-21	0.00100409532136	2
0.000513782842124	0.000862459358943	1.45810352968e-22	0.00100389688449	2.47017293796e-80
0.000479681211257	0.00088164027731	1.42712598048e-21	0.00100368503177	0
0.000444858893081	0.000899461805504	1.46759699029e-22	0.00100345950308	0
0.000409370494025	0.000915896473224	0	0.00100322009103	1.6930970927e+219
0.000373272015625	0.000930918952378	-8.23588272076e-22	0.00100296664628	1.23783017996e+214
0.000336620976346	0.000944506098095	9.13542166415e-22	0.001002699083	4.58796739293e-81
0.000299476692317	0.00095663698816	0	0.0010024173863	6.96055414929e+252
0.000261900881918	0.000967292962339	5.11923863126e-22	0.00100212162283	1.20688498279e-316
0.000223958990078	0.000976457665332	-6.87691458961e-22	0.00100181195911	4.44732252437e+252
0.000185723295269	0.000984117104099	7.79303140187e-23	0.00100148870038	1.20691976501e-316
0.000147281122896	0.000990259753332	-3.99628596585e-23	0.00100115239011	0
0.000108761144296	0.000994876838346	3.57062545176e-22	0.00100080413168	7.1639518647e-322
7.04499134611e-05	0.000997963520768	4.533858601e-23	0.0010004470896	1.20691778875e-316
3.38356200439e-05	0.000999529390501	2.44032292122e-22	0.00100010192064	6.93253086905e-310
3.38356200439e-05	-0.000999529390501	-1.61199283628e-22	0.00100010192064	9.88131291682e-324
7.04499134611e-05	-0.000997963520768	-1.27382570692e-22	0.0010004470896	1.77863632503e-322
0.000108761144296	-0.000994876838346	-1.78531272588e-22	0.00100080413168	6.67459261297e-81
0.000147281122896	-0.000990259753332	-3.06232192793e-23	0.00100115239011	2.345363898e+166
0.000185723295269	-0.000984117104099	6.3241843857e-23	0.00100148870038	7.28304816159e+223
0.000223958990078	-0.000976457665332	6.87691458961e-22	0.00100181195911	4.90027657542e+252
0.000261900881918	-0.000967292962339	-6.53096021002e-22	0.00100212162283	1.20628064169e-316
0.000299476692317	-0.00095663698816	0	0.0010024173863	5.02620884587e+180
0.000336620976346	-0.000944506098095	-9.80249389064e-22	0.001002699083	840121712640
0.000373272015625	-0.000930918952378	8.23588272076e-22	0.00100296664628	1.20627115563e-316
0.000409370494025	-0.000915896473224	0	0.00100322009103	1.23783017996e+214
0.000444858893081	-0.000899461805504	1.35584616723e-22	0.00100345950308	4.58796579961e-81
0.000479681211257	-0.00088164027731	1.36093374465e-22	0.00100368503177	6.96055414929e+252
0.000513782842124	-0.000862459358943	1.36533962783e-22	0.00100389688449	7.67692231285e+170
0.000547110534498	-0.000841948619232	1.12257356088e-21	0.00100409532136	2.84581812005e-321
0.000579612397714	-0.000820139679131	0	0.00100428065045	2.37151510004e-322
0.000611237932247	-0.000797066162537	0	0.00100445322304	1.20686008188e-316
0.000641938074672	-0.000772763644022	-1.37846574653e-22	0.00100461342876	9.88131291682e-324
0.000671665251025	-0.000747269593867	-1.3809870168e-22	0.00100476169083	2.12199579047e-314
0.000700373434578	-0.000720623320072	1.38329848521e-22	0.00100489846119	5.34154564622e+228
0.000728018205637	-0.000692865907648	0	0.00100502421549	6.67459335795e-81
0.000754556812076	-0.000664040155202	0	0.00100513944822	1.82310223315e-321
0.000779948229144	-0.000634190508833	4.99600904977e-21	0.00100524466755	1.20697944814e-316
0.000804153218202	-0.000603362993549	1.52513925676e-21	0.00100534039028	1.20691778875e-316
0.000827134384033	-0.000571605142293	-2.7852653787e-22	0.00100542713706	0
0.000848856229895	-0.000538965922679	0	0.00100550542755	1.20690316441e-316
0.000869285210166	-0.000505495661427	-1.6893750484e-21	0.00100557577553	840121936273
0.000888389780378	-0.000471245966663	2.79413936229e-22	0.00100563868411	6.9325349017e-310
0.000906140444666	-0.000436269648464	0	0.00100569464134	1.23783017996e+214
0.000922509800462	-0.000400620637407	0	0.0010057441161	2
0.000937472579733	-0.000364353901226	-2.80197289079e-22	0.00100578755366	6.96055414929e+252
0.000951005687218	-0.000327525360215	0	0.00100582537187	0
0.00096308823568	-0.00029019180103	2.80679798396e-22	0.00100585795771	0
0.00097370157766	-0.000252410789	2.80912292722e-22	0.00100588566385	5.34154564621e+228
0.000982829333851	-0.000214240579384	2.77370052589e-21	0.00100590880567	6.67459261297e-81
0.00099045741814	-0.000175740027626	2.19185336253e-21	0.00100592765866	5.58294179801e-322
0.00099657405905	-0.000136968498617	2.81585080405e-22	0.001005942456	6.9323480495e-310
0.00100116981803	-9.79857749203e-05	0	0.0010059533869	1.20693241309e-316
0.00100423760258	-5.88519647994e-05	-2.82020581351e-22	0.00100596059376	2.47017293796e-80
0.00100577267887	-1.96274095746e-05	-2.82236513566e-22	0.00100596417271	1.20695454724e-316
0.00100577267887	1.96274095746e-05	-2.82452117937e-22	0.00100596417271	7.90505033346e-322
0.00100423760258	5.88519647994e-05	-2.82668050152e-22	0.00100596059376	2.37151510004e-322
0.00100116981803	9.79857749203e-05	0	0.0010059533869	1.20693122734e-316
0.00099657405905	0.000136968498617	2.83103551098e-22	0.001005942456	7.41098468762e-323
0.00099045741814	0.000175740027626	-2.75654199403e-21	0.00100592765866	6.96055764525e+252
0.000982829333851	0.000214240579384	-2.20901189439e-21	0.00100590880567	1.22180469653e+199
0.00097370157766	0.000252410789	2.83776338781e-22	0.00100588566385	1.35441148278e-306
0.00096308823568	0.00029019180103	2.84008833107e-22	0.00100585795771	7.95445689804e-322
0.000951005687218	0.000327525360215	0	0.00100582537187	1.20845453054e-316
0.000937472579733	0.000364353901226	-2.84491342423e-22	0.00100578755366	1.19918823054e-316
0.000922509800462	0.000400620637407	0	0.0010057441161	0
0.000906140444666	0.000436269648464	0	0.00100569464134	1.20691344097e-316
0.000888389780378	0.000471245966663	2.85274695274e-22	0.00100563868411	6.67459335795e-81
0.000869285210166	0.000505495661427	1.12468641689e-21	0.00100557577553	1.2084565068e-316
0.000848856229895	0.000538965922679	0	0.00100550542755	1.20840275246e-316
0.000827134384033	0.000571605142293	-2.86162093632e-22	0.00100542713706	1.20840275246e-316
0.000804153218202	0.000603362993549	-1.52513925676e-21	0.00100534039028	2.47017293796e-80
0.000779948229144	0.000634190508833	-2.85860145537e-21	0.00100524466755	2.71615461244e-312
0.000754556812076	0.000664040155202	1.62590588315e-21	0.00100513944822	1.20833990731e-316
0.000728018205637	0.000692865907648	0	0.00100502421549	6.95315926624e-310
